"institution","reg","arten"
"naturgucker",156678,382
NULL,20543,492
"NMOK",13986,438
"iNaturalist",11258,155
"ZSM",4139,467
"ZFMK",3746,246
"AK Entomologie NABU Sachsen",2028,179
"GEO",1669,204
"Artenfinder Rheinland-Pfalz",933,154
"WSL",684,65
"AMNH",622,137
"USNM",468,22
"NMR",261,67
"UTE",221,71
"NMBE",122,76
"KU",105,57
"Anymals.org",90,17
"UCRC",89,18
"PBDB",76,31
"MNHM",44,12
"ETHZ",42,29
"MCZ",36,14
"INHS",30,7
"LACM",28,4
"MnhnL",28,14
"NTNU-VM",24,12
"WUR-Alterra",23,13
"USDA-ARS",22,10
"BGBM",22,11
"Pangaea",21,0
"MHNN",10,5
"European Distributed Institute of Taxonomy (EDIT)",7,6
"MSU",6,2
"C.A. Triplehorn Insect Collection, Ohio State University, Columbus, OH (OSUC)",5,1
"University of Central Florida Collection of Arthopods (UCFC)",4,0
"MfN",4,1
"NMB",4,4
"HNS",3,3
"NMTG",2,2
"MNHW",2,2
"VPI",1,0
"SMF",1,0
"PPRI",1,0
"UWYMED",1,0
"TAAM",1,1
"KR",1,1
"NMLU",1,1
