"species","genus","reg"
"Bombus pascuorum","Bombus",26682
"Bombus terrestris","Bombus",26184
"Apis mellifera","Apis",23785
"Bombus lapidarius","Bombus",19678
"Xylocopa violacea","Xylocopa",11659
NULL,NULL,10719
NULL,"Bombus",6782
"Bombus pratorum","Bombus",3377
"Osmia cornuta","Osmia",3271
"Bombus hortorum","Bombus",2718
NULL,"Apis",2231
"Osmia rufa","Osmia",2104
"Bombus hypnorum","Bombus",2101
"Bombus lucorum","Bombus",2060
"Halictus scabiosae","Halictus",2021
"Anthidium manicatum","Anthidium",1693
NULL,"Nomada",1625
"Andrena cineraria","Andrena",1621
"Andrena flavipes","Andrena",1522
"Anthophora plumipes","Anthophora",1512
"Andrena induta","Andrena",1360
"Andrena haemorrhoa","Andrena",1319
"Bombus sylvarum","Bombus",1281
"Andrena fulva","Andrena",1200
NULL,"Xylocopa",1103
NULL,"Lasioglossum",1010
"Colletes cunicularius","Colletes",935
"Sphecodes albilabris","Sphecodes",932
NULL,"Sphecodes",834
"Andrena vaga","Andrena",781
"Andrena bicolor","Andrena",748
"Lasioglossum calceatum","Lasioglossum",723
"Dasypoda hirtipes","Dasypoda",717
"Heriades truncorum","Heriades",694
NULL,"Hylaeus",688
"Bombus rupestris","Bombus",625
"Colletes daviesanus","Colletes",615
NULL,"Osmia",606
"Lasioglossum morio","Lasioglossum",583
NULL,"Halictus",573
"Andrena gravida","Andrena",568
NULL,"Colletes",549
"Halictus tumulorum","Halictus",521
"Andrena nitida","Andrena",513
NULL,"Megachile",500
"Colletes hederae","Colletes",477
"Bombus vestalis","Bombus",475
"Andrena hattorfiana","Andrena",472
"Eucera nigrescens","Eucera",470
"Andrena florea","Andrena",451
"Hoplitis adunca","Hoplitis",446
"Bombus humilis","Bombus",445
"Andrena dorsata","Andrena",429
"Megachile ericetorum","Megachile",424
"Megachile willughbiella","Megachile",416
"Chelostoma rapunculi","Chelostoma",412
"Halictus subauratus","Halictus",394
"Bombus bohemicus","Bombus",385
"Andrena nigroaenea","Andrena",382
"Hylaeus communis","Hylaeus",379
"Nomada fucata","Nomada",378
"Andrena minutula","Andrena",374
"Lasioglossum pauxillum","Lasioglossum",371
"Andrena ovatula","Andrena",371
"Osmia florisomnis","Osmia",370
"Lasioglossum laticeps","Lasioglossum",365
"Halictus sexcinctus","Halictus",345
"Bombus sylvestris","Bombus",338
"Halictus rubicundus","Halictus",326
"Osmia bicolor","Osmia",313
"Megachile centuncularis","Megachile",308
"Andrena pilipes","Andrena",306
"Nomada flavoguttata","Nomada",305
"Anthidium oblongatum","Anthidium",299
"Lasioglossum malachurum","Lasioglossum",292
"Osmia aurulenta","Osmia",291
"Nomada goodeniana","Nomada",280
"Lasioglossum leucozonium","Lasioglossum",278
"Bombus campestris","Bombus",273
"Osmia caerulescens","Osmia",269
"Lasioglossum fulvicorne","Lasioglossum",259
"Sphecodes ephippius","Sphecodes",259
"Lasioglossum politum","Lasioglossum",258
"Andrena subopaca","Andrena",256
"Nomada lathburiana","Nomada",254
"Andrena clarkella","Andrena",253
"Nomada flava","Nomada",250
"Lasioglossum villosulum","Lasioglossum",249
"Panurgus calcaratus","Panurgus",249
"Bombus magnus","Bombus",245
"Andrena lathyri","Andrena",244
"Halictus quadricinctus","Halictus",241
"Nomada fabriciana","Nomada",240
"Ceratina cyanea","Ceratina",237
"Hylaeus signatus","Hylaeus",236
"Andrena tibialis","Andrena",233
"Sphecodes monilicornis","Sphecodes",231
"Bombus soroeensis","Bombus",229
"Nomada ruficornis","Nomada",226
"Macropis europaea","Macropis",225
"Hylaeus hyalinatus","Hylaeus",225
"Anthidiellum strigatum","Anthidiellum",219
"Nomada marshamella","Nomada",218
NULL,"Anthophora",214
"Eucera longicornis","Eucera",214
"Colletes similis","Colletes",214
"Andrena helvola","Andrena",213
"Chelostoma campanularum","Chelostoma",212
"Melitta nigricans","Melitta",212
"Hylaeus confusus","Hylaeus",211
"Bombus subterraneus","Bombus",206
"Melecta albifrons","Melecta",206
"Andrena wilkella","Andrena",203
"Anthidium punctatum","Anthidium",203
"Hoplitis leucomelana","Hoplitis",199
"Bombus ruderarius","Bombus",197
"Hylaeus nigritus","Hylaeus",197
"Sphecodes gibbus","Sphecodes",197
"Andrena curvungula","Andrena",197
"Andrena labiata","Andrena",197
"Andrena praecox","Andrena",196
"Megachile versicolor","Megachile",196
"Andrena proxima","Andrena",196
"Lasioglossum albipes","Lasioglossum",194
"Nomada fulvicornis","Nomada",192
"Anthophora quadrimaculata","Anthophora",190
"Macropis fulvipes","Macropis",187
"Megachile pilidens","Megachile",180
"Halictus maculatus","Halictus",179
"Andrena barbilabris","Andrena",177
"Megachile rotundata","Megachile",176
"Andrena minutuloides","Andrena",174
"Hylaeus variegatus","Hylaeus",174
NULL,"Andrena",172
"Anthophora bimaculata","Anthophora",170
"Lasioglossum costulatum","Lasioglossum",167
NULL,"Prosopis",165
"Melitta leporina","Melitta",165
"Andrena carantonica","Andrena",165
"Anthophora aestivalis","Anthophora",164
"Osmia leaiana","Osmia",164
"Andrena agilissima","Andrena",161
"Andrena rosae","Andrena",159
"Epeolus variegatus","Epeolus",159
"Nomada flavopicta","Nomada",157
"Halictus simplex","Halictus",157
"Hylaeus brevicornis","Hylaeus",155
"Nomada panzeri","Nomada",151
"Bombus barbutellus","Bombus",151
"Halictus confusus","Halictus",151
"Sphecodes pellucidus","Sphecodes",148
"Anthophora furcata","Anthophora",144
NULL,"Heriades",143
"Anthidium nanum","Anthidium",142
"Andrena labialis","Andrena",140
"Melitta haemorrhoidalis","Melitta",139
"Andrena humilis","Andrena",139
"Bombus muscorum","Bombus",138
"Heriades crenulatus","Heriades",138
"Ceratina chalybea","Ceratina",138
"Nomada succincta","Nomada",137
"Lasioglossum sexnotatum","Lasioglossum",137
"Nomada bifasciata","Nomada",135
"Andrena viridescens","Andrena",135
"Andrena ventralis","Andrena",133
"Coelioxys afra","Coelioxys",133
"Andrena chrysosceles","Andrena",126
"Nomada sheppardana","Nomada",125
"Trachusa byssina","Trachusa",124
"Lasioglossum zonulum","Lasioglossum",121
"Andrena scotica","Andrena",121
"Chelostoma florisomne","Chelostoma",120
"Andrena fuscipes","Andrena",120
"Nomada alboguttata","Nomada",118
"Hoplosmia spinulosa","Hoplosmia",118
"Ceratina cucurbitina","Ceratina",118
"Andrena fucata","Andrena",117
"Andrena mitis","Andrena",117
"Bombus veteranus","Bombus",114
"Colletes succinctus","Colletes",113
"Stelis punctulatissima","Stelis",111
