"jahr","arten_jahr","reg"
NULL,357,3222
2022,5,142
2021,292,36258
2020,289,44813
2019,251,30238
2018,241,25886
2017,212,9738
2016,203,6925
2015,171,4631
2014,212,5016
2013,213,4174
2012,292,5051
2011,228,3410
2010,205,2338
2009,191,2207
2008,223,3673
2007,188,920
2006,149,555
2005,106,465
2004,162,603
2003,138,531
2002,157,621
2001,169,699
2000,147,463
1999,170,690
1998,160,608
1997,166,633
1996,194,595
1995,224,727
1994,147,377
1993,144,423
1992,92,278
1991,123,387
1990,161,786
1989,88,199
1988,36,65
1987,42,88
1986,53,89
1985,87,486
1984,60,135
1983,30,47
1982,28,45
1981,42,90
1980,43,86
1979,29,69
1978,21,40
1977,20,33
1976,8,14
1975,46,85
1974,43,59
1973,56,75
1972,61,90
1971,30,50
1970,30,55
1969,28,67
1968,55,151
1967,47,114
1966,65,172
1965,112,434
1964,135,602
1963,177,701
1962,142,500
1961,147,494
1960,116,340
1959,55,119
1958,96,203
1957,71,177
1956,46,66
1955,43,76
1954,51,94
1953,76,165
1952,83,176
1951,32,85
1950,52,93
1949,113,166
1948,160,398
1947,184,1451
1946,158,649
1945,23,33
1944,58,98
1943,94,250
1942,183,661
1941,85,199
1940,68,142
1939,74,153
1938,125,408
1937,64,164
1936,98,334
1935,87,167
1934,143,304
1933,144,336
1932,155,463
1931,234,1074
1930,204,938
1929,185,911
1928,211,1416
1927,115,449
1926,69,154
1925,63,240
1924,50,66
1923,46,64
1922,50,78
1921,41,57
1920,28,41
1919,47,103
1918,32,53
1917,33,126
1916,41,242
1915,25,199
1914,23,69
1913,7,135
1912,3,36
1911,5,21
1910,3,23
1909,5,74
1908,3,33
1907,7,11
1906,4,14
1905,4,17
1904,7,33
1903,11,18
1902,12,20
1901,4,4
1900,8,13
1899,1,9
1898,3,4
1897,1,1
1896,4,20
1895,1,1
1893,2,2
1892,1,6
1890,4,48
1889,2,2
1888,7,8
1887,4,7
1886,3,6
1885,3,3
1884,15,21
1883,4,5
1882,5,5
1881,3,4
1880,5,7
1879,4,7
1878,3,3
1877,2,2
1856,1,1
