"genus","family","artenzahl"
"Andrena","Andrenidae",239.0
"Lasioglossum","Halictidae",143.0
"Nomada","Apidae",118.0
"Bombus","Apidae",102.0
"Hylaeus","Colletidae",88.0
"Osmia","Megachilidae",58.0
"Sphecodes","Halictidae",52.0
"Megachile","Megachilidae",45.0
"Halictus","Halictidae",40.0
"Hoplitis","Megachilidae",34.0
"Colletes","Colletidae",29.0
"Coelioxys","Megachilidae",26.0
"Anthophora","Apidae",26.0
"Apis","Apidae",16.0
"Stelis","Megachilidae",16.0
"Anthidium","Megachilidae",14.0
"Xylocopa","Apidae",13.0
"Chelostoma","Megachilidae",13.0
"Melitta","Melittidae",12.0
"Dufourea","Halictidae",11.0
"Dasypoda","Melittidae",10.0
"Epeolus","Apidae",10.0
"Eucera","Apidae",10.0
"Ceratina","Apidae",10.0
"Tetraloniella","Apidae",8.0
"Macropis","Melittidae",7.0
"Panurgus","Andrenidae",7.0
"Melecta","Apidae",7.0
"Anthophorites","Apidae",6.0
"Rophites","Halictidae",6.0
"Pseudoanthidium","Megachilidae",6.0
"Heriades","Megachilidae",6.0
"Biastes","Apidae",5.0
"Systropha","Halictidae",5.0
NULL,"Halictidae",4.0
"Dioxys","Megachilidae",4.0
"Panurginus","Andrenidae",4.0
"Hoplosmia","Megachilidae",4.0
"Trachusa","Megachilidae",4.0
"Thyreus","Apidae",4.0
"Tetralonia","Apidae",4.0
"Lithurgus","Megachilidae",3.0
"Epeoloides","Apidae",3.0
"Nomioides","Halictidae",3.0
"Protobombus","Apidae",3.0
"Anthidiellum","Megachilidae",3.0
"Ammobates","Apidae",3.0
"Amegilla","Apidae",3.0
NULL,"Apidae",2.0
"Electrapis","Apidae",2.0
"Eckfeldapis","Apidae",2.0
"Prosopis","Colletidae",2.0
"Seladonia","Halictidae",2.0
"Rhodanthidium","Megachilidae",1.0
"Rhophitoides","Apidae",1.0
"Camptopoeum","Andrenidae",1.0
"Aglaoapis","Megachilidae",1.0
"Friccomelissa","Megachilidae",1.0
"Succinapis","Apidae",1.0
NULL,"Melittidae",1.0
NULL,"Megachilidae",1.0
"Melitturga","Andrenidae",1.0
"Triepeolus","Apidae",1.0
"Glyptapis","Megachilidae",1.0
NULL,"Andrenidae",1.0
"Crustacea","Apidae",1.0
"Patellapis","Halictidae",1.0
"Peponapis","Apidae",1.0
"Podalirius","Apidae",1.0
"Perdita","Andrenidae",1.0
NULL,"Colletidae",1.0
"Protosmia","Megachilidae",1.0
"Chalicodoma","Megachilidae",1.0
"Pygomelissa","Apidae",1.0
